model,acc_mean,acc_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
HistGradientBoosting,0.9633988967582041,0.0008885600360137452,0.9570061146255655,0.001090792830140193,0.9948605581917576,0.0003662124696023592
RandomForest,0.9628695517982365,0.0012318579694934732,0.9564494921067098,0.001489785853449326,0.9942565332200447,0.0003763983784245918
ExtraTrees,0.9609735770982406,0.0014330701106375044,0.9542616739402694,0.0017388961878141527,0.9934791122210394,0.0004631345661139433
KNN(k=15) + SVD(32),0.9280008298651795,0.0016190704622555925,0.9137196483975792,0.0020709348943162686,0.9794156175228341,0.0012425879655506226
LogReg (MinMaxScaler),0.8752887079099192,0.0021481776735347733,0.8532063023124599,0.002502122995575143,0.9265995112031401,0.0018725267688616623
LogReg (StandardScaler),0.8752117186707948,0.002184826013953158,0.8530857759709697,0.0025396580095578872,0.9266763583365458,0.0018911977295232156
LogReg + SVD(32),0.8752117186707948,0.002184826013953158,0.8530857759709697,0.0025396580095578872,0.9266763583365458,0.0018911977295232156
LinearSVC (calibrated),0.8741145501098373,0.002562947204564686,0.8518533680490016,0.003050613045171923,0.9261173502401598,0.0019548924282025404
